chinese_name,english_name,director,actor,year,country
茶馆,The Teahouse, 谢添 Tian Xie, 于是之 Shizhi Yu/郑榕 Rong Zhen/蓝天野 T,1982,大陆
阳光姐妹淘,阳光姊妹淘(港)/桑尼, 姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim/闵孝琳 Hy,2011,韩国
九品芝麻官,九品芝麻官之白面包青天/Hail the Judge, 王晶 Jing Wong, 周星驰 Stephen Chow/吴孟达 Man Tat Ng/,1994,大陆
我是山姆,不一样的爸爸(港)/他不笨，他是我爸爸(台), 杰茜·尼尔森 Jessie Nelson, Sean Penn/Dakota Fanning/Mi,2001,美国
花样年华,In the Mood for Love, 王家卫 Kar Wai Wong, 梁朝伟 Tony Leung Chiu Wai/张曼玉 Ma,2000,香港
色，戒,色|戒/色·戒, 李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai/汤唯 Wei Tang/,2007,香港
血战钢锯岭,钢锯岭/钢铁英雄(台), 梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield /,2016,美国
恐怖直播,死亡“动”新闻(港)/恐怖攻击直播(台), 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha/李璟荣 Kyeong-y,2013,韩国
七武士,七侠四义(港)/七剑客(港), 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune/志村乔 ,1954,日本
头脑特工队,玩转脑朋友(港)/脑筋急转弯(台), 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,,2015,美国
惊魂记,精神病患者/触目惊心(港), 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho,1960,美国
黑客帝国3：矩阵革命,22世纪杀人网络3：惊变世纪(港)/骇客任务完结篇：最后战役(台), 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,,2003,美国
你的名字。,你的名字/君之名, 新海诚 Makoto Shinkai, 神木隆之介 Ryûnosuke Kamiki/上,2016,日本
